Url_path,Thumbnail,Title,Desc,Price
https://www2.hm.com/en_us/productpage.0624684022.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F89%2Fb1%2F89b1e7817f344047b47ddcc69d869ba93a10480a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bmen_tshirtstanks_multipacks%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],5-pack Slim Fit T-shirts,Slim-fit T-shirts in soft cotton jersey with a round neck.,$54.99
https://www2.hm.com/en_us/productpage.0685816181.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4f%2F96%2F4f967da059cc382a6f9e5c5d628c75beea2ea0bf.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Regular Fit Crew-neck T-shirt,Regular-fit T-shirt in soft cotton jersey. Ribbed crew neck and a straight-cut hem.,$6.99
https://www2.hm.com/en_us/productpage.0853284001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fdd%2F04%2Fdd0461789c309c7cdb9fc28dbe4d4975c3689c1a.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bmen_shoes_sandals_espandrillos%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Leather Sandals,Slides in soft leather with adjustable straps. Molded suede insoles and patterned soles.,$39.99
https://www2.hm.com/en_us/productpage.1103620001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F30%2Fdb%2F30db48f22fcf2c812377c13e5f8da85971d41221.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Regular Fit Hoodie,"Regular-fit sweatshirt hoodie in cotton with soft, brushed inside. Drawstring hood, long sleeves, and a kangaroo pocket. Wide ribbing at cuffs and hem.",$35.99
https://www2.hm.com/en_us/productpage.1200796006.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fbe%2F24%2Fbe24c553fb9e9e3cb33ff701a1f13d2a532cf766.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bmen_trousers_cargo%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],Regular Fit Ripstop Cargo Joggers,"Regular-fit cargo joggers in durable, woven ripstop fabric. Waistband with drawstring, covered elastic, and zip fly with snap fastener. Slim legs with covered elastic at hems. Diagonal side pockets, back pockets with flap and snap fasteners, leg pockets with zipper, and bellows leg pockets with snap fasteners.",$59.99
https://www2.hm.com/en_us/productpage.1170394003.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff5%2Fd3%2Ff5d3756ecab0226f1f7fa08cfaef345da66f858c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Regular Fit Oxford Shirt,"Regular-fit shirt in oxford-weave cotton. Button-down collar, classic button placket, open chest pocket, and yoke at back. Long sleeves with sleeve placket, link button, and button at cuffs. Gently rounded hem.",$42.99
https://www2.hm.com/en_us/productpage.0956308039.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F9b%2Fc7%2F9bc70efc9f748fb7db34a5536affe77ed0bf1526.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Regular Fit Sweatshorts,"Regular-fit sweatshorts. Drawstring and covered elastic at waistband, diagonal welt side pockets, and an open back pocket. Soft, brushed inside.",$14.99
https://www2.hm.com/en_us/productpage.0685816184.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F1b%2F59%2F1b599a2ef3722a409a4bbe9aa596aa3f9037e3fa.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bmen_tshirtstanks_shortsleeve%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Regular Fit Crew-neck T-shirt,Regular-fit T-shirt in soft cotton jersey. Ribbed crew neck and a straight-cut hem.,$6.99
https://www2.hm.com/en_us/productpage.0967417035.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fef%2F64%2Fef649b2f11a27f1ef422efec06a10276fdc174b5.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Regular Fit Sweatshorts,"Regular-fit sweatshorts in a lightweight cotton blend. Elasticized, drawstring waistband, side pockets, and an open back pocket. Raw, rolled-edge hems.",$12.99
https://www2.hm.com/en_us/productpage.1063055002.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F27%2F30%2F2730fe978085a38779db51e76e841ea1a2c7991f.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Relaxed Fit Twill Pull-on Pants,"Relaxed-fit pants in cotton twill. Drawstring and covered elastic at waistband, mock fly, diagonal side pockets, and open back pockets.",$35.99
