Url_path,Thumbnail,Title,Desc
https://www2.hm.com/en_us/productpage.1196743001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F99%2Fec%2F99ec977d2106c0de043673614b5be62f5daa8e90.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Draped Bandeau Top,"Slightly longer, fitted bandeau top in crêped jersey. Silicone trim inside upper edge to keep top in place. One side with pleats and gathers at one side for a gently draped effect and one side with concealed zipper and hook-and-eye fastener."
https://www2.hm.com/en_us/productpage.1179440001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F07%2Fb7%2F07b7833696a1f7240041f54fac3edb4fb056290c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Crop Jacket,"Crop jacket in woven fabric with a wrapover front. Pointed lapels, low-cut V-neck, and tab at hem with adjustable buttoning at back. Welt chest pocket, shoulder pads, and long, wide sleeves with a slit at cuffs. Lined."
https://www2.hm.com/en_us/productpage.1072834009.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F0f%2F47%2F0f476ce970ed9a9170065b0a860fa5dbe3eee52b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shoes_loafers%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],Chunky Buckle-detail Loafers,"Loafers with a decorative tab and metal buckle at front. Satin lining and chunky, patterned soles. Sole thickness approx. 1 3/4 in."
https://www2.hm.com/en_us/productpage.1196547004.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F08%2Fd7%2F08d7d3b241d3f31c00041617dd3fe6021ced2656.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Crinkled Dress,"Short dress in woven, crinkled fabric. Round neckline, small opening at back of neck with a concealed button, gently dropped shoulders, and long, wide sleeves. Straight-cut hem. Unlined."
https://www2.hm.com/en_us/productpage.1163102011.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F98%2F4c%2F984ca3bf7032a4eb76185fe1abcc9ff21b204e04.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Oversized Printed T-shirt,Oversized T-shirt in soft cotton jersey with a printed design. Ribbed neckline and dropped shoulders.
https://www2.hm.com/en_us/productpage.1177523001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F51%2F6a%2F516a03e2f7da188b743933e447490804fcd21b69.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Oversized Cotton Shirt,"Oversized shirt in woven cotton fabric. Collar, buttons at front, and double-layered yoke at back with a wide box pleat. Patch chest pocket, dropped shoulders, and long sleeves with button at cuffs. Rounded hem."
https://www2.hm.com/en_us/productpage.1167743002.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd2%2F48%2Fd2489bda2c3f7acdbb50fd756745d163bfd3a972.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],MAMA 2-piece Ribbed Set,"Set with a tank top and pants in soft, ribbed jersey. Top with wide shoulder straps and a V-neck. Pants with a high waist, narrow elastic for added comfort, and straight, wide legs."
https://www2.hm.com/en_us/productpage.1163102011.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F98%2F4c%2F984ca3bf7032a4eb76185fe1abcc9ff21b204e04.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Oversized Printed T-shirt,Oversized T-shirt in soft cotton jersey with a printed design. Ribbed neckline and dropped shoulders.
https://www2.hm.com/en_us/productpage.1158561001.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4f%2Fec%2F4fecf62f5324cb7d7a5c6ebc47f42ff58287483c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Joggers,"Sweatpant joggers with soft, brushed inside. Covered elastic at waistband, discreet side-seam pockets, and covered elastic at hems."
https://www2.hm.com/en_us/productpage.1067430018.html,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fec%2F74%2Fec74efa9fd4a581b94da813e2e6845f5d2609b99.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Wide Ultra High Jeans,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Wide leg with a regular fit from the waist to the hip and a straight, wide cut from the thigh to the hem. Extra-high waist with a zip fly and button. Regular length, designed to hit the top of the foot with little or no stacking. A denim statement that goes the distance."
